2026-04-15 21:01:48 | io_calc.main         | INFO     | 📝 Log iniciado: d:\IA - Calculadora\src\..\logs\io_calc_20260415_210148.log
2026-04-15 21:01:48 | io_calc.config       | INFO     | API Key cargada (termina en ...HTyg)
2026-04-15 21:01:48 | io_calc.config       | DEBUG    | PDF_PATH: d:\IA - Calculadora\src\..\Insumos\Investigacion-Operaciones10Edicion-Frederick-S-Hillier.pdf
2026-04-15 21:01:48 | io_calc.config       | DEBUG    | CHROMA_DB_DIR: d:\IA - Calculadora\src\..\chroma_db
2026-04-15 21:01:48 | io_calc.config       | INFO     | Modelos chat: ['gemini-2.5-flash', 'gemini-2.5-flash-lite']
2026-04-15 21:01:48 | io_calc.config       | INFO     | Modelo embeddings: models/gemini-embedding-001
2026-04-15 21:01:48 | io_calc.config       | INFO     | Configuración cargada correctamente
2026-04-15 21:01:56 | io_calc.embeddings   | INFO     | === Iniciando carga/creación de vectorstore ===
2026-04-15 21:01:56 | io_calc.embeddings   | INFO     | Inicializando modelo de embeddings: models/gemini-embedding-001
2026-04-15 21:01:57 | io_calc.embeddings   | INFO     | Cargando PDF desde d:\IA - Calculadora\src\..\Insumos\Investigacion-Operaciones10Edicion-Frederick-S-Hillier.pdf
2026-04-15 21:02:51 | io_calc.embeddings   | INFO     | PDF cargado: 1229 páginas
2026-04-15 21:02:51 | io_calc.embeddings   | INFO     | 2996 fragmentos creados (chunk_size=2000, overlap=400)
2026-04-15 21:02:51 | io_calc.embeddings   | INFO     | Total de chunks deseados: 2996
2026-04-15 21:02:51 | io_calc.embeddings   | INFO     | ChromaDB encontrado en d:\IA - Calculadora\src\..\chroma_db
2026-04-15 21:02:53 | io_calc.embeddings   | INFO     | Chunks existentes en ChromaDB: 90
2026-04-15 21:02:53 | io_calc.embeddings   | INFO     | Modo incremental: agregando 2906 chunks faltantes
2026-04-15 21:02:53 | io_calc.embeddings   | INFO     | Agregando 2906 chunks nuevos en 6 lotes
2026-04-15 21:03:31 | io_calc.embeddings   | INFO     | Lote 1/6 agregado (500/2906 fragmentos nuevos)
2026-04-15 21:04:14 | io_calc.embeddings   | INFO     | Lote 2/6 agregado (1000/2906 fragmentos nuevos)
2026-04-15 21:04:47 | io_calc.embeddings   | INFO     | Lote 3/6 agregado (1500/2906 fragmentos nuevos)
2026-04-15 21:05:21 | io_calc.embeddings   | INFO     | Lote 4/6 agregado (2000/2906 fragmentos nuevos)
2026-04-15 21:05:54 | io_calc.embeddings   | INFO     | Lote 5/6 agregado (2500/2906 fragmentos nuevos)
2026-04-15 21:06:21 | io_calc.embeddings   | INFO     | Lote 6/6 agregado (2906/2906 fragmentos nuevos)
2026-04-15 21:06:21 | io_calc.embeddings   | INFO     | Vector store actualizado: 2996 fragmentos totales
2026-04-15 21:06:21 | io_calc.rag          | INFO     | ============================================================
2026-04-15 21:06:21 | io_calc.rag          | INFO     | NUEVA CONSULTA: 
Encontrar el flujo máximo desde el nodo origen S hasta el nodo destino T en la siguiente red:

S ->...
2026-04-15 21:06:21 | io_calc.rag          | INFO     | ============================================================
2026-04-15 21:06:21 | io_calc.rag          | DEBUG    | Cache MISS — clave: eca5ce7c0cf003759321c92cd2c1383d
2026-04-15 21:06:21 | io_calc.rag          | INFO     | Buscando contexto relevante en ChromaDB...
2026-04-15 21:06:21 | io_calc.embeddings   | DEBUG    | Buscando contexto para: '
Encontrar el flujo máximo desde el nodo origen S hasta el nodo destino T en la ...' (k=5)
2026-04-15 21:06:21 | io_calc.embeddings   | INFO     | Contexto encontrado — Páginas: [385, 386, 382, 386, 384], Scores: ['0.410', '0.425', '0.429', '0.430', '0.436']
2026-04-15 21:06:21 | io_calc.rag          | DEBUG    | Contexto obtenido: 8091 caracteres
2026-04-15 21:06:21 | io_calc.rag          | DEBUG    | Prompt construido: 8724 caracteres, ~2181 tokens estimados
2026-04-15 21:06:21 | io_calc.rag          | INFO     | --- Intentando modelo 1/2: gemini-2.5-flash ---
2026-04-15 21:06:22 | io_calc.rag          | DEBUG    | Modelo gemini-2.5-flash inicializado correctamente
2026-04-15 21:06:22 | io_calc.rag          | INFO     | Enviando prompt a gemini-2.5-flash (intento 1/3)...
2026-04-15 21:06:58 | io_calc.rag          | INFO     | ✅ Respuesta recibida de gemini-2.5-flash en 36.0s (6021 chars)
2026-04-15 21:06:58 | io_calc.rag          | INFO     | Respuesta guardada en caché (clave: eca5ce7c0cf003759321c92cd2c1383d)
